"","ID","name","year","samplename"
"1","GeoPT48","Monzonite",2021,"MzBP-1"
"2","GeoPT46","Granodiorite",2020,"HG-1"
"3","GeoPT43","Dolerite",2018,"ADS-1"
"4","GeoPT41","Andesite",2017,"ORA-1"
"5","GeoPT39","Syenite",2016,"SyMP-1"
"6","GeoPT39A","Nepheline Syenite",2016,"MNS-1"
"7","GeoPT38","Ardnamurchan gabbro",2016,"OU-7"
"8","GeoPT38A","Modified harzburgite",2016,"HARZ01"
"9","GeoPT37","Rhyolite",2015,"ORPT-1"
"10","GeoPT36","Gabbro",2015,"GSM-1"
"11","GeoPT35","Tonalite",2014,"TLM-1"
"12","GeoPT34","Granite",2014,"GRI-1"
"13","GeoPT32","Woodstock basalt",2013,"WG-1"
