"","names(list.df)","quantiles","as.character(list.outliers)"
"1","GeoPT1.csv",1.67390805221964,"integer(0)"
"2","GeoPT2.csv",1.3872390254753,"c(7, 24, 26)"
"3","GeoPT3.csv",1.16968772942535,"c(5, 25)"
"4","GeoPT4.csv",1.22099321242674,"c(8, 18, 19)"
"5","GeoPT5.csv",1.79744186016903,"integer(0)"
"6","GeoPT6.csv",1.4987062821544,"c(1, 5)"
"7","GeoPT8.csv",1.10931899578941,"c(11, 12, 29)"
"8","GeoPT14.csv",1.41966088990335,"integer(0)"
"9","GeoPT16.csv",1.77930056809912,"18"
"10","GeoPT19.csv",3.76397194471239,"integer(0)"
"11","GeoPT20.csv",2.65315630520999,"16"
"12","GeoPT21.csv",0.7397420394171,"c(7, 25, 31, 32)"
"13","GeoPT22.csv",1.14580415799749,"16"
"14","GeoPT23.csv",2.78786867696707,"c(32, 36, 41)"
"15","GeoPT25.csv",1.72158222100667,"c(1, 5, 31, 33, 36, 38)"
"16","GeoPT29.csv",1.7988220553922,"c(12, 21, 27)"
"17","GeoPT32.csv",1.04339172597019,"c(2, 5, 14, 15, 28, 35, 37, 39, 45)"
"18","GeoPT34.csv",1.18232712069759,"c(16, 32, 37)"
"19","GeoPT35.csv",1.79439551194631,"c(38, 58)"
"20","GeoPT36.csv",1.2955279768816,"c(4, 29, 42, 47)"
"21","GeoPT37.csv",1.00094763565067,"c(14, 23, 61)"
"22","GeoPT38.csv",1.38769685721304,"c(7, 22, 27, 31, 32, 35, 47)"
"23","GeoPT38A.csv",3.34793981568863,"c(17, 27)"
"24","GeoPT39.csv",1.3937062794551,"c(22, 28, 38, 44, 49, 56)"
"25","GeoPT39A.csv",1.41726384509156,"c(7, 12, 44)"
"26","GeoPT41.csv",2.39412731476057,"integer(0)"
"27","GeoPT43.csv",1.27131463943745,"c(19, 34, 47, 48, 51)"
"28","GeoPT46.csv",1.17069040504007,"c(9, 35)"
"29","GeoPT48.csv",1.59345237433629,"c(7, 12, 37, 43)"
